pais_nombre;pais_area_total_km2;pais_pob_total;L1_tipo;L1_nombre;L1_area_km2;L1_pct_area_pais;L1_rank_area_pais;L1_rank_area_superior;L1_pob;L1_pct_pob_pais;L1_rank_pob_pais;L1_rank_pob_superior;L1_num_subdivisiones_hijas;L1_capitales_nombres;L1_capitales_pob;L1_capitales_pct_pob_sub;L1_ciudad_mas_poblada_nombre;L1_ciudad_mas_poblada_pob;L1_ciudad_mas_poblada_pct_pob_sub;L1_escanhos;L2_tipo;L2_nombre;L2_area_km2;L2_pct_area_pais;L2_pct_area_superior;L2_rank_area_pais;L2_rank_area_superior;L2_pob;L2_pct_pob_pais;L2_pct_pob_superior;L2_rank_pob_pais;L2_rank_pob_superior;L2_num_subdivisiones_hijas;L2_capitales_nombres;L2_capitales_pob;L2_capitales_pct_pob_sub;L2_ciudad_mas_poblada_nombre;L2_ciudad_mas_poblada_pob;L2_ciudad_mas_poblada_pct_pob_sub;L2_escanhos;L3_tipo;L3_nombre;L3_area_km2;L3_pct_area_pais;L3_pct_area_superior;L3_rank_area_pais;L3_rank_area_superior;L3_pob;L3_pct_pob_pais;L3_pct_pob_superior;L3_rank_pob_pais;L3_rank_pob_superior;L3_num_subdivisiones_hijas;L3_capitales_nombres;L3_capitales_pob;L3_capitales_pct_pob_sub;L3_ciudad_mas_poblada_nombre;L3_ciudad_mas_poblada_pob;L3_ciudad_mas_poblada_pct_pob_sub;L3_escanhos
France_Kingdom;277971.06;37457582;Reino;Francia;277971.06;100.00;1;1;37457582;100.00;1;1;19;Paris;2113705;5.64;Paris;2113705;5.64;100;Condado;Angoumois;4679.55;1.68;1.68;15;15;321794;0.86;0.86;16;16;1;Angoulême;41423;12.87;Angoulême;41423;12.87;2;Condado;Angoumois;4679.55;1.68;100.00;14;1;321794;0.86;100.00;18;1;291;Angoulême;41423;12.87;Angoulême;41423;12.87;
;;;;;;;;;;;;;;;;;;;;;Ducado;Aquitania;67571.73;24.31;24.31;1;1;4523398;12.08;12.08;3;3;2;Bordeaux;265328;5.87;Bordeaux;265328;5.87;11;Ducado;Gascuña;37395.26;13.45;55.34;1;1;1975697;5.27;43.68;7;2;2275;Auch;22825;1.16;Bayonne;53312;2.70;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ducado;Guyena;30176.47;10.86;44.66;4;2;2547701;6.80;56.32;6;1;1574;Bordeaux;265328;10.41;Bordeaux;265328;10.41;
;;;;;;;;;;;;;;;;;;;;;Condado;Artois;4414.29;1.59;1.59;16;16;1063717;2.84;2.84;9;9;1;Arras;42621;4.01;Arras;42621;4.01;3;Condado;Artois;4414.29;1.59;100.00;16;1;1063717;2.84;100.00;10;1;634;Arras;42621;4.01;Arras;42621;4.01;
;;;;;;;;;;;;;;;;;;;;;Provincia;Aunis;1429.87;0.51;0.51;19;19;314603;0.84;0.84;17;17;1;La Rochelle;45;0.01;La Rochelle;45;0.01;2;Provincia;Aunis;1429.87;0.51;100.00;21;1;314603;0.84;100.00;19;1;90;La Rochelle;79961;25.42;La Rochelle;79961;25.42;
;;;;;;;;;;;;;;;;;;;;;Estados Soberanos;Navarra y Bearne;5981.87;2.15;2.15;13;13;403516;1.08;1.08;13;13;2;Pau;78620;19.48;Pau;78620;19.48;2;Vizcondado;Bearne;4654.54;1.67;77.81;15;1;369699;0.99;91.62;16;1;389;Pau;78620;21.27;Pau;78620;21.27;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Reino;Navarra;1327.33;0.48;22.19;22;2;33817;0.09;8.38;23;2;74;Saint-Jean-Pied-de-Port;1487;4.40;Saint-Michel;3222;9.53;
;;;;;;;;;;;;;;;;;;;;;Provincia;Bretaña;34082.26;12.26;12.26;2;2;4949051;13.21;13.21;2;2;1;Rennes;227830;4.60;Rennes;227830;4.60;12;Provincia;Bretaña;34082.26;12.26;100.00;2;1;4949051;13.21;100.00;2;1;1329;Rennes;227830;4.60;Nantes;325070;6.57;
;;;;;;;;;;;;;;;;;;;;;Provincia Insular;Córcega;8679.79;3.12;3.12;9;9;360162;0.96;0.96;15;15;1;Ajaccio | Bastia;122802;34.10;Ajaccio;75343;20.92;2;Provincia Insular;Córcega;8679.79;3.12;100.00;10;1;360162;0.96;100.00;17;1;360;Ajaccio | Bastia;122802;34.10;Ajaccio;75343;20.92;
;;;;;;;;;;;;;;;;;;;;;Condado;Foix;2666.38;0.96;0.96;18;18;97369;0.26;0.26;19;19;1;Foix;9731;9.99;Foix;9731;9.99;1;Condado;Foix;2666.38;0.96;100.00;19;1;97369;0.26;100.00;22;1;178;Foix;9731;9.99;Pamiers;16512;16.96;
;;;;;;;;;;;;;;;;;;;;;Provincia;Flandes y Henao;5594.24;2.01;2.01;14;14;2592851;6.92;6.92;7;7;3;Douai;39833;1.54;Douai;39833;1.54;6;Provincia;Cambrai;730.66;0.26;13.06;23;3;143225;0.38;5.52;21;3;97;Cambrai;31568;22.04;Cambrai;31568;22.04;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Flandes;2709.07;0.97;48.43;18;1;1824831;4.87;70.38;8;1;273;Lille;238695;13.08;Lille;238695;13.08;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Henao;2154.51;0.78;38.51;20;2;624795;1.67;24.10;12;2;255;Valenciennes;42979;6.88;Valenciennes;42979;6.88;
;;;;;;;;;;;;;;;;;;;;;Provincia;Isla de Francia;8387.29;3.02;3.02;11;11;7839062;20.93;20.93;1;1;1;Paris;2113705;26.96;Paris;2113705;26.96;18;Provincia;Isla de Francia;8387.29;3.02;100.00;12;1;7839062;20.93;100.00;1;1;1021;Paris;2113705;26.96;Paris;2113705;26.96;
;;;;;;;;;;;;;;;;;;;;;Provincia;Languedoc;33883.67;12.19;12.19;3;3;4123098;11.01;11.01;4;4;1;Toulouse;511684;12.41;Toulouse;511684;12.41;10;Provincia;Languedoc;33883.67;12.19;100.00;3;1;4123098;11.01;100.00;3;1;1979;Toulouse;511684;12.41;Toulouse;511684;12.41;
;;;;;;;;;;;;;;;;;;;;;Provincia;Limosín;8506.45;3.06;3.06;10;10;523987;1.40;1.40;11;11;1;Limoges;129754;24.76;Limoges;129754;24.76;2;Provincia;Limosín;8506.45;3.06;100.00;11;1;523987;1.40;100.00;13;1;377;Limoges;129754;24.76;Limoges;129754;24.76;
;;;;;;;;;;;;;;;;;;;;;Condado;Marche;9031.96;3.25;3.25;8;8;210670;0.56;0.56;18;18;1;Guéret;12814;6.08;Guéret;12814;6.08;1;Condado;Marche;9031.96;3.25;100.00;9;1;210670;0.56;100.00;20;1;364;Guéret;12814;6.08;Guéret;12814;6.08;
;;;;;;;;;;;;;;;;;;;;;Ducado;Normandía;28396.17;10.22;10.22;4;4;3291858;8.79;8.79;6;6;1;Rouen;116331;3.53;Rouen;116331;3.53;8;Ducado;Normandía;28396.17;10.22;100.00;5;1;3291858;8.79;100.00;5;1;2587;Rouen;116331;3.53;Le Havre;166462;5.06;
;;;;;;;;;;;;;;;;;;;;;Provincia;Picardía;13308.00;4.79;4.79;6;6;1290714;3.45;3.45;8;8;1;Amiens;134780;10.44;Amiens;134780;10.44;4;Provincia;Picardía;13308.00;4.79;100.00;7;1;1290714;3.45;100.00;9;1;1546;Amiens;134780;10.44;Amiens;134780;10.44;
;;;;;;;;;;;;;;;;;;;;;Condado;Poitou;12293.31;4.42;4.42;7;7;766655;2.05;2.05;10;10;1;Poitiers;89472;11.67;Poitiers;89472;11.67;3;Condado;Poitou;12293.31;4.42;100.00;8;1;766655;2.05;100.00;11;1;501;Poitiers;89472;11.67;Poitiers;89472;11.67;
;;;;;;;;;;;;;;;;;;;;;Condado;Provenza;19216.48;6.91;6.91;5;5;3923157;10.47;10.47;5;5;1;Aix-en-Provence;147933;3.77;Aix-en-Provence;147933;3.77;9;Condado;Provenza;19216.48;6.91;100.00;6;1;3923157;10.47;100.00;4;1;532;Aix-en-Provence;147933;3.77;Marseille;877215;22.36;
