pais_nombre;pais_area_total_km2;pais_pob_total;L1_tipo;L1_nombre;L1_area_km2;L1_pct_area_pais;L1_rank_area_pais;L1_rank_area_superior;L1_pob;L1_pct_pob_pais;L1_rank_pob_pais;L1_rank_pob_superior;L1_num_subdivisiones_hijas;L1_capitales_nombres;L1_capitales_pob;L1_capitales_pct_pob_sub;L1_ciudad_mas_poblada_nombre;L1_ciudad_mas_poblada_pob;L1_ciudad_mas_poblada_pct_pob_sub;L1_escanhos;L2_tipo;L2_nombre;L2_area_km2;L2_pct_area_pais;L2_pct_area_superior;L2_rank_area_pais;L2_rank_area_superior;L2_pob;L2_pct_pob_pais;L2_pct_pob_superior;L2_rank_pob_pais;L2_rank_pob_superior;L2_num_subdivisiones_hijas;L2_capitales_nombres;L2_capitales_pob;L2_capitales_pct_pob_sub;L2_ciudad_mas_poblada_nombre;L2_ciudad_mas_poblada_pob;L2_ciudad_mas_poblada_pct_pob_sub;L2_escanhos;L3_tipo;L3_nombre;L3_area_km2;L3_pct_area_pais;L3_pct_area_superior;L3_rank_area_pais;L3_rank_area_superior;L3_pob;L3_pct_pob_pais;L3_pct_pob_superior;L3_rank_pob_pais;L3_rank_pob_superior;L3_num_subdivisiones_hijas;L3_capitales_nombres;L3_capitales_pob;L3_capitales_pct_pob_sub;L3_ciudad_mas_poblada_nombre;L3_ciudad_mas_poblada_pob;L3_ciudad_mas_poblada_pct_pob_sub;L3_escanhos
;;;;;;;;;;;;;;;;;;;;;Reino;Galicia;29351.31;5.80;5.80;7;7;2704461;5.49;5.49;6;6;1;Santiago de Compostela;99491;3.68;Santiago de Compostela;99491;3.68;16;Reino;Galicia;29351.31;5.80;100.00;5;1;2704461;5.49;100.00;6;1;312;Santiago de Compostela;99491;3.68;Vigo;295523;10.93;16
;;;;;;;;;;;;;;;;;;;;;Reino;Granada;27000.34;5.34;5.34;8;8;3392882;6.89;6.89;5;5;1;Granada;233532;6.88;Granada;233532;6.88;19;Reino;Granada;27000.34;5.34;100.00;6;1;3392882;6.89;100.00;5;1;368;Granada;233532;6.88;Málaga;592346;17.46;19
;;;;;;;;;;;;;;;;;;;;;Reino;León;80632.29;15.95;15.95;1;1;1981263;4.02;4.02;10;10;5;León;122866;6.20;León;122866;6.20;16;Provincia;Extremadura;40349.19;7.98;50.04;2;1;1036823;2.11;52.33;14;1;372;Badajoz;151146;14.58;Badajoz;151146;14.58;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Reino;León;15313.72;3.03;18.99;13;2;444183;0.90;22.42;24;2;218;León;122866;27.66;León;122866;27.66;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Salamanca;14229.11;2.81;17.65;14;3;336029;0.68;16.96;27;3;426;Salamanca;144458;42.99;Salamanca;144458;42.99;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Toro;5151.94;1.02;6.39;26;5;63449;0.13;3.20;35;5;113;Toro;8371;13.19;Reinosa;8526;13.44;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Zamora;5588.33;1.11;6.93;25;4;100779;0.20;5.09;32;4;125;Zamora;59553;59.09;Zamora;59553;59.09;2
;;;;;;;;;;;;;;;;;;;;;Reino;Mallorca;4992.00;0.99;0.99;15;15;1231768;2.50;2.50;13;13;1;Palma;438234;35.58;Palma;438234;35.58;8;Reino;Mallorca;4992.00;0.99;100.00;28;1;1231768;2.50;100.00;11;1;67;Palma;438234;35.58;Palma;438234;35.58;8
;;;;;;;;;;;;;;;;;;;;;Reino;Murcia;20590.18;4.07;4.07;10;10;1908055;3.88;3.88;11;11;1;Murcia;471982;24.74;Murcia;471982;24.74;11;Reino;Murcia;20590.18;4.07;100.00;12;1;1908055;3.88;100.00;8;1;86;Murcia;471982;24.74;Murcia;471982;24.74;11
;;;;;;;;;;;;;;;;;;;;;Reino;Navarra;10390.00;2.05;2.05;12;12;678333;1.38;1.38;16;16;1;Pamplona;208243;30.70;Pamplona;208243;30.70;5;Reino;Navarra;10390.00;2.05;100.00;21;1;678333;1.38;100.00;19;1;272;Pamplona;208243;30.70;Pamplona;208243;30.70;5
;;;;;;;;;;;;;;;;;;;;;Reino;Toledo;79561.72;15.73;15.73;2;2;8625735;17.52;17.52;1;1;5;Toledo;86281;1.00;Toledo;86281;1.00;52;Provincia;Cuenca;22623.41;4.47;28.44;9;3;262025;0.53;3.04;28;5;307;Cuenca;53643;20.47;Cuenca;53643;20.47;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Guadalajara;7435.13;1.47;9.35;24;4;724686;1.47;8.40;17;3;219;Guadalajara;90878;12.54;Guadalajara;90878;12.54;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;La Mancha;23028.45;4.55;28.94;7;1;521286;1.06;6.04;23;4;128;Ciudad Real;75674;14.52;Ciudad Real;75674;14.52;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Madrid;3844.94;0.76;4.83;29;5;5344081;10.85;61.96;2;1;79;Madrid;3422416;64.04;Madrid;3422416;64.04;30
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Toledo;22629.79;4.48;28.44;8;2;1773657;3.60;20.56;9;2;285;Toledo;86281;4.86;Móstoles;213268;12.02;11
;;;;;;;;;;;;;;;;;;;;;Reino;Valencia;21277.28;4.21;4.21;9;9;5237813;10.64;10.64;3;3;1;València;824340;15.74;València;824340;15.74;29;Reino;Valencia;21277.28;4.21;100.00;11;1;5237813;10.64;100.00;3;1;533;València;824340;15.74;València;824340;15.74;29
;;;;;;;;;;;;;;;;;;;;;Provincias Forales;Vascongadas;7235.00;1.43;1.43;14;14;2227684;4.52;4.52;9;9;3;Bilbao | Donostia | Vitoria-Gasteiz;793236;35.61;Bilbao;347342;15.59;15;Condado;Álava;3038.00;0.60;41.99;30;1;338594;0.69;15.20;26;3;51;Vitoria-Gasteiz;257407;76.02;Vitoria-Gasteiz;257407;76.02;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Guipúzcoa;1980.00;0.39;27.37;32;3;729722;1.48;32.76;16;2;88;Donostia;188487;25.83;Donostia;188487;25.83;5
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Señorío;Vizcaya;2217.00;0.44;30.64;31;2;1159368;2.35;52.04;13;1;113;Bilbao;347342;29.96;Bilbao;347342;29.96;7
