pais_nombre;pais_area_total_km2;pais_pob_total;L1_tipo;L1_nombre;L1_area_km2;L1_pct_area_pais;L1_rank_area_pais;L1_rank_area_superior;L1_pob;L1_pct_pob_pais;L1_rank_pob_pais;L1_rank_pob_superior;L1_num_subdivisiones_hijas;L1_capitales_nombres;L1_capitales_pob;L1_capitales_pct_pob_sub;L1_ciudad_mas_poblada_nombre;L1_ciudad_mas_poblada_pob;L1_ciudad_mas_poblada_pct_pob_sub;L1_escanhos;L2_tipo;L2_nombre;L2_area_km2;L2_pct_area_pais;L2_pct_area_superior;L2_rank_area_pais;L2_rank_area_superior;L2_pob;L2_pct_pob_pais;L2_pct_pob_superior;L2_rank_pob_pais;L2_rank_pob_superior;L2_num_subdivisiones_hijas;L2_capitales_nombres;L2_capitales_pob;L2_capitales_pct_pob_sub;L2_ciudad_mas_poblada_nombre;L2_ciudad_mas_poblada_pob;L2_ciudad_mas_poblada_pct_pob_sub;L2_escanhos;L3_tipo;L3_nombre;L3_area_km2;L3_pct_area_pais;L3_pct_area_superior;L3_rank_area_pais;L3_rank_area_superior;L3_pob;L3_pct_pob_pais;L3_pct_pob_superior;L3_rank_pob_pais;L3_rank_pob_superior;L3_num_subdivisiones_hijas;L3_capitales_nombres;L3_capitales_pob;L3_capitales_pct_pob_sub;L3_ciudad_mas_poblada_nombre;L3_ciudad_mas_poblada_pob;L3_ciudad_mas_poblada_pct_pob_sub;L3_escanhos
France_Kingdom;313360.02;41218594;Reino;Francia;313360.02;100.00;1;1;41218594;100.00;1;1;22;Paris;2113705;5.13;Paris;2113705;5.13;100;Condado;Angoumois;4679.55;1.49;1.49;18;18;321794;0.78;0.78;19;19;1;Angoulême;41423;12.87;Angoulême;41423;12.87;2;Condado;Angoumois;4679.55;1.49;100.00;17;1;321794;0.78;100.00;21;1;291;Angoulême;41423;12.87;Angoulême;41423;12.87;
;;;;;;;;;;;;;;;;;;;;;Ducado;Anjou;7772.10;2.48;2.48;13;13;852177;2.07;2.07;12;12;1;Angers;157555;18.49;Angers;157555;18.49;3;Ducado;Anjou;7772.10;2.48;100.00;14;1;852177;2.07;100.00;13;1;198;Angers;157555;18.49;Angers;157555;18.49;
;;;;;;;;;;;;;;;;;;;;;Ducado;Aquitania;67571.73;21.56;21.56;1;1;4523398;10.97;10.97;3;3;2;Bordeaux;265328;5.87;Bordeaux;265328;5.87;9;Ducado;Gascuña;37395.26;11.93;55.34;1;1;1975697;4.79;43.68;7;2;2275;Auch;22825;1.16;Bayonne;53312;2.70;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ducado;Guyena;30176.47;9.63;44.66;4;2;2547701;6.18;56.32;6;1;1574;Bordeaux;265328;10.41;Bordeaux;265328;10.41;
;;;;;;;;;;;;;;;;;;;;;Condado;Artois;4414.29;1.41;1.41;19;19;1063717;2.58;2.58;11;11;1;Arras;42621;4.01;Arras;42621;4.01;3;Condado;Artois;4414.29;1.41;100.00;19;1;1063717;2.58;100.00;12;1;634;Arras;42621;4.01;Arras;42621;4.01;
;;;;;;;;;;;;;;;;;;;;;Provincia;Aunis;1448.96;0.46;0.46;22;22;316108;0.77;0.77;20;20;1;La Rochelle;45;0.01;La Rochelle;45;0.01;1;Provincia;Aunis;1448.96;0.46;100.00;24;1;316108;0.77;100.00;22;1;91;La Rochelle;79961;25.30;La Rochelle;79961;25.30;
;;;;;;;;;;;;;;;;;;;;;Estados Soberanos;Navarra y Bearne;5981.87;1.91;1.91;15;15;403516;0.98;0.98;16;16;2;Pau;78620;19.48;Pau;78620;19.48;2;Vizcondado;Bearne;4654.54;1.49;77.81;18;1;369699;0.90;91.62;19;1;389;Pau;78620;21.27;Pau;78620;21.27;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Reino;Navarra;1327.33;0.42;22.19;25;2;33817;0.08;8.38;27;2;74;Saint-Jean-Pied-de-Port;1487;4.40;Saint-Michel;3222;9.53;
;;;;;;;;;;;;;;;;;;;;;Provincia;Bretaña;34103.19;10.88;10.88;2;2;4964489;12.04;12.04;2;2;1;Rennes;227830;4.59;Rennes;227830;4.59;10;Provincia;Bretaña;34103.19;10.88;100.00;2;1;4964489;12.04;100.00;2;1;1334;Rennes;227830;4.59;Nantes;325070;6.55;
;;;;;;;;;;;;;;;;;;;;;Provincia Insular;Córcega;8679.79;2.77;2.77;10;10;360162;0.87;0.87;18;18;1;Ajaccio | Bastia;122802;34.10;Ajaccio;75343;20.92;2;Provincia Insular;Córcega;8679.79;2.77;100.00;11;1;360162;0.87;100.00;20;1;360;Ajaccio | Bastia;122802;34.10;Ajaccio;75343;20.92;
;;;;;;;;;;;;;;;;;;;;;Provincia;Delfinado;13051.72;4.17;4.17;8;8;1464227;3.55;3.55;9;9;2;Grenoble;156389;10.68;Grenoble;156389;10.68;4;Provincia;Delfinado;12921.93;4.12;99.01;9;1;1432644;3.48;97.84;10;1;671;Grenoble;156389;10.92;Grenoble;156389;10.92;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Principado;Orange;129.79;0.04;0.99;28;2;31583;0.08;2.16;28;2;4;Orange;29357;92.95;Orange;29357;92.95;
;;;;;;;;;;;;;;;;;;;;;Condado;Foix;2666.38;0.85;0.85;21;21;97369;0.24;0.24;22;22;1;Foix;9731;9.99;Foix;9731;9.99;1;Condado;Foix;2666.38;0.85;100.00;22;1;97369;0.24;100.00;25;1;178;Foix;9731;9.99;Pamiers;16512;16.96;
;;;;;;;;;;;;;;;;;;;;;Provincia;Flandes y Henao;5594.24;1.79;1.79;16;16;2592851;6.29;6.29;7;7;3;Douai;39833;1.54;Douai;39833;1.54;6;Provincia;Cambrai;730.66;0.23;13.06;27;3;143225;0.35;5.52;24;3;97;Cambrai;31568;22.04;Cambrai;31568;22.04;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Flandes;2709.07;0.86;48.43;21;1;1824831;4.43;70.38;8;1;273;Lille;238695;13.08;Lille;238695;13.08;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Henao;2154.51;0.69;38.51;23;2;624795;1.52;24.10;14;2;255;Valenciennes;42979;6.88;Valenciennes;42979;6.88;
;;;;;;;;;;;;;;;;;;;;;Provincia;Isla de Francia;8387.29;2.68;2.68;12;12;7839062;19.02;19.02;1;1;1;Paris;2113705;26.96;Paris;2113705;26.96;16;Provincia;Isla de Francia;8387.29;2.68;100.00;13;1;7839062;19.02;100.00;1;1;1021;Paris;2113705;26.96;Paris;2113705;26.96;
;;;;;;;;;;;;;;;;;;;;;Provincia;Languedoc;33883.67;10.81;10.81;3;3;4123098;10.00;10.00;4;4;1;Toulouse;511684;12.41;Toulouse;511684;12.41;9;Provincia;Languedoc;33883.67;10.81;100.00;3;1;4123098;10.00;100.00;3;1;1979;Toulouse;511684;12.41;Toulouse;511684;12.41;
;;;;;;;;;;;;;;;;;;;;;Provincia;Limosín;8506.45;2.71;2.71;11;11;523987;1.27;1.27;14;14;1;Limoges;129754;24.76;Limoges;129754;24.76;2;Provincia;Limosín;8506.45;2.71;100.00;12;1;523987;1.27;100.00;16;1;377;Limoges;129754;24.76;Limoges;129754;24.76;
;;;;;;;;;;;;;;;;;;;;;Condado;Marche;9031.96;2.88;2.88;9;9;210670;0.51;0.51;21;21;1;Guéret;12814;6.08;Guéret;12814;6.08;1;Condado;Marche;9031.96;2.88;100.00;10;1;210670;0.51;100.00;23;1;364;Guéret;12814;6.08;Guéret;12814;6.08;
;;;;;;;;;;;;;;;;;;;;;Ducado;Normandía;28396.17;9.06;9.06;4;4;3291858;7.99;7.99;6;6;1;Rouen;116331;3.53;Rouen;116331;3.53;7;Ducado;Normandía;28396.17;9.06;100.00;5;1;3291858;7.99;100.00;5;1;2587;Rouen;116331;3.53;Le Havre;166462;5.06;
;;;;;;;;;;;;;;;;;;;;;Provincia;Picardía;13308.00;4.25;4.25;7;7;1290714;3.13;3.13;10;10;1;Amiens;134780;10.44;Amiens;134780;10.44;3;Provincia;Picardía;13308.00;4.25;100.00;8;1;1290714;3.13;100.00;11;1;1546;Amiens;134780;10.44;Amiens;134780;10.44;
;;;;;;;;;;;;;;;;;;;;;Condado;Poitou;19982.91;6.38;6.38;6;6;1496514;3.63;3.63;8;8;2;Poitiers;89472;5.98;Poitiers;89472;5.98;4;Condado;Poitou;18809.83;6.00;94.13;7;1;1451515;3.52;96.99;9;1;750;Poitiers;89472;6.16;Poitiers;89472;6.16;
