pais_nombre;pais_area_total_km2;pais_pob_total;L1_tipo;L1_nombre;L1_area_km2;L1_pct_area_pais;L1_rank_area_pais;L1_rank_area_superior;L1_pob;L1_pct_pob_pais;L1_rank_pob_pais;L1_rank_pob_superior;L1_num_subdivisiones_hijas;L1_capitales_nombres;L1_capitales_pob;L1_capitales_pct_pob_sub;L1_ciudad_mas_poblada_nombre;L1_ciudad_mas_poblada_pob;L1_ciudad_mas_poblada_pct_pob_sub;L1_escanhos;L2_tipo;L2_nombre;L2_area_km2;L2_pct_area_pais;L2_pct_area_superior;L2_rank_area_pais;L2_rank_area_superior;L2_pob;L2_pct_pob_pais;L2_pct_pob_superior;L2_rank_pob_pais;L2_rank_pob_superior;L2_num_subdivisiones_hijas;L2_capitales_nombres;L2_capitales_pob;L2_capitales_pct_pob_sub;L2_ciudad_mas_poblada_nombre;L2_ciudad_mas_poblada_pob;L2_ciudad_mas_poblada_pct_pob_sub;L2_escanhos;L3_tipo;L3_nombre;L3_area_km2;L3_pct_area_pais;L3_pct_area_superior;L3_rank_area_pais;L3_rank_area_superior;L3_pob;L3_pct_pob_pais;L3_pct_pob_superior;L3_rank_pob_pais;L3_rank_pob_superior;L3_num_subdivisiones_hijas;L3_capitales_nombres;L3_capitales_pob;L3_capitales_pct_pob_sub;L3_ciudad_mas_poblada_nombre;L3_ciudad_mas_poblada_pob;L3_ciudad_mas_poblada_pct_pob_sub;L3_escanhos
First_Spanish_Empire;5717676.78;149375776;Región cultural;Árabes Bereberes;5110563.24;89.38;1;1;89070562;59.63;1;1;3;Tanger;1275428;1.43;Tanger;1275428;1.43;178;Prefectura;África;397869.99;6.96;7.79;4;3;37719404;25.25;42.35;3;2;31;Tunis;604599;1.60;Tunis;604599;1.60;70;Provincia;Aín Defla;10215.00;0.18;2.57;86;14;1651499;1.11;4.38;30;10;86;Aïn Defla;65453;3.96;Khemis Miliana;84574;5.12;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia Metropolitana;Alger;273.00;0.00;0.07;156;31;2988145;2.00;7.92;8;2;37;El Djazaïr;1212053;40.56;El Djazaïr;1212053;40.56;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Añaba;13420.00;0.23;3.37;64;10;1938470;1.30;5.14;22;6;96;Annaba;257359;13.28;Annaba;257359;13.28;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Batna;12192.00;0.21;3.06;70;11;1119791;0.75;2.97;44;14;60;Batna;290645;25.96;Batna;290645;25.96;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Biskra;20986.00;0.37;5.27;36;4;721356;0.48;1.91;72;20;33;Biskra;205608;28.50;Biskra;205608;28.50;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Bizerta;8905.36;0.16;2.24;97;19;1246038;0.83;3.30;39;12;38;Bizerte;186033;14.93;Bizerte;186033;14.93;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Blida;10562.00;0.18;2.65;81;13;1822869;1.22;4.83;23;7;89;Médéa;138355;7.59;Blida;163586;8.97;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Cairuán;11354.00;0.20;2.85;74;12;817045;0.55;2.17;66;19;31;Kairouan;172788;21.15;Kairouan;172788;21.15;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Chlef;9665.00;0.17;2.43;92;16;1728268;1.16;4.58;29;9;73;Chlef;178616;10.33;Chlef;178616;10.33;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Constantina;18330.00;0.32;4.61;42;7;2326973;1.56;6.17;15;5;73;Constantine;448374;19.27;Constantine;448374;19.27;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Djelfa;66415.00;1.16;16.69;20;1;1092184;0.73;2.90;46;15;36;Djelfa;289226;26.48;Djelfa;289226;26.48;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Gabes;7166.00;0.13;1.80;122;25;410847;0.28;1.09;104;27;16;Gabès;101042;24.59;Gabès;101042;24.59;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Gafsa;7807.00;0.14;1.96;109;22;388776;0.26;1.03;109;28;13;Gafsa;129931;33.42;Gafsa;129931;33.42;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Jendouba;8067.00;0.14;2.03;105;21;642038;0.43;1.70;78;22;29;Jendouba;109173;17.00;Jendouba;109173;17.00;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Jenchela;9811.00;0.17;2.47;90;15;386683;0.26;1.03;111;29;21;Khenchela;108580;28.08;Khenchela;108580;28.08;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Kasserine;8260.00;0.14;2.08;101;20;492741;0.33;1.31;91;24;19;Kasserine;38218;7.76;Ennour;44984;9.13;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Kebili;22454.00;0.39;5.64;34;3;183201;0.12;0.49;139;30;9;Kébili;50016;27.30;Kébili;50016;27.30;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Laghouat;25057.00;0.44;6.30;33;2;455602;0.31;1.21;96;26;24;Laghouat;144747;31.77;Laghouat;144747;31.77;1
