pais_nombre;pais_area_total_km2;pais_pob_total;L1_tipo;L1_nombre;L1_area_km2;L1_pct_area_pais;L1_rank_area_pais;L1_rank_area_superior;L1_pob;L1_pct_pob_pais;L1_rank_pob_pais;L1_rank_pob_superior;L1_num_subdivisiones_hijas;L1_capitales_nombres;L1_capitales_pob;L1_capitales_pct_pob_sub;L1_ciudad_mas_poblada_nombre;L1_ciudad_mas_poblada_pob;L1_ciudad_mas_poblada_pct_pob_sub;L1_escanhos;L2_tipo;L2_nombre;L2_area_km2;L2_pct_area_pais;L2_pct_area_superior;L2_rank_area_pais;L2_rank_area_superior;L2_pob;L2_pct_pob_pais;L2_pct_pob_superior;L2_rank_pob_pais;L2_rank_pob_superior;L2_num_subdivisiones_hijas;L2_capitales_nombres;L2_capitales_pob;L2_capitales_pct_pob_sub;L2_ciudad_mas_poblada_nombre;L2_ciudad_mas_poblada_pob;L2_ciudad_mas_poblada_pct_pob_sub;L2_escanhos
Union_Espanhola;749602.19;99316101;Reino;Aragón;47720.00;6.37;4;4;1364621;1.37;9;9;1;Zaragoza;699007;51.22;Zaragoza;699007;51.22;3;Reino;Aragón;47720.00;6.37;100.00;2;1;1364621;1.37;100.00;23;1;731;Zaragoza;699007;51.22;Zaragoza;699007;51.22;
;;;Corona;Castilla;391918.33;52.28;1;1;33024218;33.25;1;1;24;Burgos | Toledo;265444;0.80;Burgos;178370;0.54;48;Condado;Álava;3104.66;0.41;0.79;49;20;343281;0.35;1.04;52;19;53;Vitoria-Gasteiz;260402;75.86;Vitoria-Gasteiz;260402;75.86;
;;;;;;;;;;;;;;;;;;;;;Provincia;Ávila;7809.16;1.04;1.99;30;16;178222;0.18;0.54;58;22;235;Ávila;59480;33.37;Ávila;59480;33.37;
;;;;;;;;;;;;;;;;;;;;;Provincia;Burgos;22202.72;2.96;5.67;14;8;1203405;1.21;3.64;26;10;591;Burgos;178370;14.82;Burgos;178370;14.82;
;;;;;;;;;;;;;;;;;;;;;Capitania General;Canarias;7447.00;0.99;1.90;32;18;2258866;2.27;6.84;14;6;88;Santa Cruz de Tenerife;211498;9.36;Las Palmas de Gran Canaria;384023;17.00;
;;;;;;;;;;;;;;;;;;;;;Reino;Córdoba;12687.29;1.69;3.24;18;11;746240;0.75;2.26;33;12;72;Córdoba;324159;43.44;Córdoba;324159;43.44;
;;;;;;;;;;;;;;;;;;;;;Provincia;Cuenca;23715.04;3.16;6.05;13;7;290148;0.29;0.88;54;20;310;Cuenca;53761;18.53;Cuenca;53761;18.53;
;;;;;;;;;;;;;;;;;;;;;Reino;Granada;26682.12;3.56;6.81;8;5;3403583;3.43;10.31;9;3;367;Granada;235294;6.91;Málaga;597173;17.55;
;;;;;;;;;;;;;;;;;;;;;Provincia;Guadalajara;7517.68;1.00;1.92;31;17;701740;0.71;2.12;35;14;220;Guadalajara;92798;13.22;Guadalajara;92798;13.22;
;;;;;;;;;;;;;;;;;;;;;Provincia;Guipúzcoa;1980.00;0.26;0.51;54;22;733149;0.74;2.22;34;13;88;Donostia;189507;25.85;Donostia;189507;25.85;
