pais_nombre;pais_area_total_km2;pais_pob_total;L1_tipo;L1_nombre;L1_area_km2;L1_pct_area_pais;L1_rank_area_pais;L1_rank_area_superior;L1_pob;L1_pct_pob_pais;L1_rank_pob_pais;L1_rank_pob_superior;L1_num_subdivisiones_hijas;L1_capitales_nombres;L1_capitales_pob;L1_capitales_pct_pob_sub;L1_ciudad_mas_poblada_nombre;L1_ciudad_mas_poblada_pob;L1_ciudad_mas_poblada_pct_pob_sub;L1_escanhos;L2_tipo;L2_nombre;L2_area_km2;L2_pct_area_pais;L2_pct_area_superior;L2_rank_area_pais;L2_rank_area_superior;L2_pob;L2_pct_pob_pais;L2_pct_pob_superior;L2_rank_pob_pais;L2_rank_pob_superior;L2_num_subdivisiones_hijas;L2_capitales_nombres;L2_capitales_pob;L2_capitales_pct_pob_sub;L2_ciudad_mas_poblada_nombre;L2_ciudad_mas_poblada_pob;L2_ciudad_mas_poblada_pct_pob_sub;L2_escanhos;L3_tipo;L3_nombre;L3_area_km2;L3_pct_area_pais;L3_pct_area_superior;L3_rank_area_pais;L3_rank_area_superior;L3_pob;L3_pct_pob_pais;L3_pct_pob_superior;L3_rank_pob_pais;L3_rank_pob_superior;L3_num_subdivisiones_hijas;L3_capitales_nombres;L3_capitales_pob;L3_capitales_pct_pob_sub;L3_ciudad_mas_poblada_nombre;L3_ciudad_mas_poblada_pob;L3_ciudad_mas_poblada_pct_pob_sub;L3_escanhos
First_Spanish_Empire;7552965.68;184620848;Region cultural;Árabes Africanos;1676198.00;22.19;2;2;6931061;3.75;3;3;2;Ṭarābulus;1063571;15.34;Ṭarābulus;1063571;15.34;46;Prefectura;Libia;279549.00;3.70;16.68;6;2;5466929;2.96;78.88;6;1;9;Ṭarābulus;1063571;19.45;Ṭarābulus;1063571;19.45;31;Provincia;Al Agelat;6089.00;0.08;2.18;166;9;349755;0.19;6.40;143;5;5;Al-'Ajaylāt;77198;22.07;Al-'Ajaylāt;77198;22.07;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Al Baida;11429.00;0.15;4.09;87;5;250020;0.14;4.57;159;7;8;Al-Bayḍā';105659;42.26;Al-Bayḍā';105659;42.26;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Ajdabiya;108523.00;1.44;38.82;18;1;213728;0.12;3.91;168;8;5;Ajdābiyā;107564;50.33;Ajdābiyā;107564;50.33;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Al Khoms;6796.00;0.09;2.43;154;7;532227;0.29;9.74;110;4;9;Al-Khums;126348;23.74;Zlīṭan;166350;31.26;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Al Marj;13515.00;0.18;4.83;75;4;286045;0.15;5.23;154;6;7;Al-Marj;62595;21.88;Al-Marj;62595;21.88;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Bengasi;11372.00;0.15;4.07;88;6;807255;0.44;14.77;83;2;3;Banghāzī;618325;76.60;Banghāzī;618325;76.60;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Misurata;29172.00;0.39;10.44;40;3;663853;0.36;12.14;94;3;2;Miṣrātah;290316;43.73;Miṣrātah;290316;43.73;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Sirte;86399.00;1.14;30.91;20;2;170869;0.09;3.13;177;9;2;Surt;87102;50.98;Surt;87102;50.98;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Trípoli;6254.00;0.08;2.24;164;8;2193177;1.19;40.12;23;1;14;Ṭarābulus;1063571;48.49;Ṭarābulus;1063571;48.49;10
;;;;;;;;;;;;;;;;;;;;;Prefectura;Sahara Oriental;1396649.00;18.49;83.32;2;1;1464132;0.79;21.12;8;2;9;Awbārī;27402;1.87;Awbārī;27402;1.87;15;Provincia;Al Yauf;433611.00;5.74;31.05;3;1;55495;0.03;3.79;196;9;2;Al-Jawf;34349;61.90;Al-Jawf;34349;61.90;1
