pais_nombre;pais_area_total_km2;pais_pob_total;L1_tipo;L1_nombre;L1_area_km2;L1_pct_area_pais;L1_rank_area_pais;L1_rank_area_superior;L1_pob;L1_pct_pob_pais;L1_rank_pob_pais;L1_rank_pob_superior;L1_num_subdivisiones_hijas;L1_capitales_nombres;L1_capitales_pob;L1_capitales_pct_pob_sub;L1_ciudad_mas_poblada_nombre;L1_ciudad_mas_poblada_pob;L1_ciudad_mas_poblada_pct_pob_sub;L1_escanhos;L2_tipo;L2_nombre;L2_area_km2;L2_pct_area_pais;L2_pct_area_superior;L2_rank_area_pais;L2_rank_area_superior;L2_pob;L2_pct_pob_pais;L2_pct_pob_superior;L2_rank_pob_pais;L2_rank_pob_superior;L2_num_subdivisiones_hijas;L2_capitales_nombres;L2_capitales_pob;L2_capitales_pct_pob_sub;L2_ciudad_mas_poblada_nombre;L2_ciudad_mas_poblada_pob;L2_ciudad_mas_poblada_pct_pob_sub;L2_escanhos;L3_tipo;L3_nombre;L3_area_km2;L3_pct_area_pais;L3_pct_area_superior;L3_rank_area_pais;L3_rank_area_superior;L3_pob;L3_pct_pob_pais;L3_pct_pob_superior;L3_rank_pob_pais;L3_rank_pob_superior;L3_num_subdivisiones_hijas;L3_capitales_nombres;L3_capitales_pob;L3_capitales_pct_pob_sub;L3_ciudad_mas_poblada_nombre;L3_ciudad_mas_poblada_pob;L3_ciudad_mas_poblada_pct_pob_sub;L3_escanhos
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Tremecén;9061.00;0.25;1.66;71;22;949135;0.87;2.28;36;16;53;Tlemcen;140158;14.77;Tlemcen;140158;14.77;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Uchda;10360.70;0.28;1.90;64;19;960042;0.88;2.31;35;15;41;Oujda;506224;52.73;Oujda;506224;52.73;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Porvincia;Zagora;27597.50;0.76;5.06;22;5;898195;0.82;2.16;43;21;74;Zagora;42294;4.71;Zagora;42294;4.71;2
;;;;;;;;;;;;;;;;;;;;;Prefectura;Sahara;2495150.20;68.41;82.07;1;1;7350386;6.73;15.00;3;2;19;Nouakchott;627415;8.54;Nouakchott;627415;8.54;31;Provincia;Aiún el Atrús;50248.00;1.38;2.01;15;14;403089;0.37;5.48;76;7;29;Aïoun El Atrouss;36517;9.06;Aïoun El Atrouss;36517;9.06;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Atar;222107.00;6.09;8.90;4;4;71623;0.07;0.97;117;18;11;Atar;35170;49.10;Atar;35170;49.10;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Béchar;162200.00;4.45;6.50;7;7;270061;0.25;3.67;93;12;21;Béchar;165627;61.33;Béchar;165627;61.33;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Brakna;33329.00;0.91;1.34;20;17;391310;0.36;5.32;77;8;24;Brakna;391310;100.00;Boghé;50205;12.83;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Dajla;186618.00;5.12;7.48;5;5;285346;0.26;3.88;91;11;5;Dakhla;165463;57.99;Dakhla;165463;57.99;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Diré;128338.00;3.52;5.14;9;9;436432;0.40;5.94;73;6;37;Diré;20337;4.66;Tonka;53276;12.21;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;El Aiun;84820.00;2.33;3.40;11;11;385647;0.35;5.25;80;9;3;Laâyoune;262791;68.14;Laâyoune;262791;68.14;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Gou;321086.20;8.80;12.87;2;2;610043;0.56;8.30;59;3;35;Gao;86353;14.16;Gao;86353;14.16;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Kaédi;13600.00;0.37;0.55;45;18;442490;0.40;6.02;72;5;31;Kaédi;62790;14.19;Kaédi;62790;14.19;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Kiffa;35984.00;0.99;1.44;18;16;451804;0.41;6.15;69;4;26;Kiffa;84101;18.61;Kiffa;84101;18.61;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Néma;182267.00;5.00;7.30;6;6;625643;0.57;8.51;56;2;37;Néma;35042;5.60;Fassale;79508;12.71;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Nuadibú;69375.00;1.90;2.78;13;12;213943;0.20;2.91;101;14;9;Nouadhibou;173525;81.11;Nouadhibou;173525;81.11;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Nuakchot;66949.00;1.84;2.68;14;13;1770664;1.62;24.09;20;1;28;Nouakchott;627415;35.43;Nouakchott;627415;35.43;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Sélibabi;10818.00;0.30;0.43;58;19;363075;0.33;4.94;81;10;22;Sélibabi;44966;12.38;Sélibabi;44966;12.38;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Tan-Tan;38174.00;1.05;1.53;17;15;147817;0.14;2.01;110;15;14;Tan-Tan;76134;51.51;Tan-Tan;76134;51.51;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Tinduf;159000.00;4.36;6.37;8;8;49149;0.04;0.67;118;19;2;Tindouf;45966;93.52;Tindouf;45966;93.52;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Tiyikya;98186.00;2.69;3.94;10;10;114760;0.10;1.56;113;16;10;Tidjikdja;19386;16.89;Nbeika;30545;26.62;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Tombuctú;374267.00;10.26;15.00;1;1;238361;0.22;3.24;97;13;15;Tombouctou;54629;22.92;Tombouctou;54629;22.92;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Zuérat;257784.00;7.07;10.33;3;3;79129;0.07;1.08;116;17;3;Zouerate;62380;78.83;Zouerate;62380;78.83;1
;;;Región cultural;Latinos;607113.54;16.65;2;2;60305214;55.18;1;1;2;Madrid;3422416;5.68;Madrid;3422416;5.68;164;Prefectura;España;592510.34;16.24;97.59;2;1;57073965;52.22;94.64;1;1;59;Madrid;3422416;6.00;Madrid;3422416;6.00;155;Provincia;Albacete;14926.00;0.41;2.52;37;10;389070;0.36;0.68;78;40;87;Albacete;174073;44.74;Albacete;174073;44.74;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Alicante;5817.00;0.16;0.98;101;49;1993289;1.82;3.49;15;8;141;Alicant;358608;17.99;Alicant;358608;17.99;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Almería;8775.00;0.24;1.48;72;31;760964;0.70;1.33;51;24;103;Almería;201946;26.54;Almería;201946;26.54;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Ávila;8050.00;0.22;1.36;78;35;160463;0.15;0.28;107;55;248;Ávila;59119;36.84;Ávila;59119;36.84;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Badajoz;21766.00;0.60;3.67;25;1;666029;0.61;1.17;54;27;165;Badajoz;151146;22.69;Badajoz;151146;22.69;2
