pais_nombre;pais_area_total_km2;pais_pob_total;L1_tipo;L1_nombre;L1_area_km2;L1_pct_area_pais;L1_rank_area_pais;L1_rank_area_superior;L1_pob;L1_pct_pob_pais;L1_rank_pob_pais;L1_rank_pob_superior;L1_num_subdivisiones_hijas;L1_capitales_nombres;L1_capitales_pob;L1_capitales_pct_pob_sub;L1_ciudad_mas_poblada_nombre;L1_ciudad_mas_poblada_pob;L1_ciudad_mas_poblada_pct_pob_sub;L1_escanhos;L2_tipo;L2_nombre;L2_area_km2;L2_pct_area_pais;L2_pct_area_superior;L2_rank_area_pais;L2_rank_area_superior;L2_pob;L2_pct_pob_pais;L2_pct_pob_superior;L2_rank_pob_pais;L2_rank_pob_superior;L2_num_subdivisiones_hijas;L2_capitales_nombres;L2_capitales_pob;L2_capitales_pct_pob_sub;L2_ciudad_mas_poblada_nombre;L2_ciudad_mas_poblada_pob;L2_ciudad_mas_poblada_pct_pob_sub;L2_escanhos;L3_tipo;L3_nombre;L3_area_km2;L3_pct_area_pais;L3_pct_area_superior;L3_rank_area_pais;L3_rank_area_superior;L3_pob;L3_pct_pob_pais;L3_pct_pob_superior;L3_rank_pob_pais;L3_rank_pob_superior;L3_num_subdivisiones_hijas;L3_capitales_nombres;L3_capitales_pob;L3_capitales_pct_pob_sub;L3_ciudad_mas_poblada_nombre;L3_ciudad_mas_poblada_pob;L3_ciudad_mas_poblada_pct_pob_sub;L3_escanhos
First_Spanish_Empire;7654714.47;208862695;Region cultural;Árabes Africanos;1676198.00;21.90;2;2;6931061;3.32;3;3;2;Ṭarābulus;1063571;15.34;Ṭarābulus;1063571;15.34;43;Prefectura;Libia;279549.00;3.65;16.68;6;2;5466929;2.62;78.88;6;1;9;Ṭarābulus;1063571;19.45;Ṭarābulus;1063571;19.45;29;Provincia;Al Agelat;6089.00;0.08;2.18;175;9;349755;0.17;6.40;159;5;5;Al-'Ajaylāt;77198;22.07;Al-'Ajaylāt;77198;22.07;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Al Baida;11429.00;0.15;4.09;88;5;250020;0.12;4.57;175;7;8;Al-Bayḍā';105659;42.26;Al-Bayḍā';105659;42.26;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Ajdabiya;108523.00;1.42;38.82;18;1;213728;0.10;3.91;184;8;5;Ajdābiyā;107564;50.33;Ajdābiyā;107564;50.33;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Al Khoms;6796.00;0.09;2.43;159;7;532227;0.25;9.74;125;4;9;Al-Khums;126348;23.74;Zlīṭan;166350;31.26;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Al Marj;13515.00;0.18;4.83;75;4;286045;0.14;5.23;170;6;7;Al-Marj;62595;21.88;Al-Marj;62595;21.88;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Bengasi;11372.00;0.15;4.07;89;6;807255;0.39;14.77;96;2;3;Banghāzī;618325;76.60;Banghāzī;618325;76.60;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Misurata;29172.00;0.38;10.44;40;3;663853;0.32;12.14;109;3;2;Miṣrātah;290316;43.73;Miṣrātah;290316;43.73;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Sirte;86399.00;1.13;30.91;20;2;170869;0.08;3.13;193;9;2;Surt;87102;50.98;Surt;87102;50.98;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Trípoli;6254.00;0.08;2.24;172;8;2193177;1.05;40.12;25;1;14;Ṭarābulus;1063571;48.49;Ṭarābulus;1063571;48.49;9
;;;;;;;;;;;;;;;;;;;;;Prefectura;Sahara Oriental;1396649.00;18.25;83.32;2;1;1464132;0.70;21.12;8;2;9;Awbārī;27402;1.87;Awbārī;27402;1.87;14;Provincia;Al Yauf;433611.00;5.66;31.05;3;1;55495;0.03;3.79;212;9;2;Al-Jawf;34349;61.90;Al-Jawf;34349;61.90;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Derna;31511.00;0.41;2.26;38;8;201639;0.10;13.77;186;3;6;Darnah;83735;41.53;Darnah;83735;41.53;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Garian;76717.00;1.00;5.49;25;6;374911;0.18;25.61;154;1;13;Gharyān;29476;7.86;Gharyān;29476;7.86;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Hun;139038.00;1.82;9.96;16;4;60853;0.03;4.16;211;8;4;Hūn;19943;32.77;Hūn;19943;32.77;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Murzuk;356308.00;4.65;25.51;5;2;94088;0.05;6.43;207;7;6;Marzūq;24890;26.45;Marzūq;24890;26.45;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provincia;Nalut;67191.00;0.88;4.81;27;7;113886;0.05;7.78;205;6;9;Nālūt;23208;20.38;Nālūt;23208;20.38;1
